fire_id,comune,fire_date,area_ha_effis,status,dnbr_area_ha_within_1km,dnbr_nearest_patch_ha,dnbr_nearest_dist_m,pre_scene,post_scene,pre_cloud_pct,post_cloud_pct,elapsed_s,overshoot_ratio,qa_flag
217089,Belmonte Mezzagno,2023-07-13 11:49:00,19.0,ok,1872.0,1.62,19.0,HLS.S30.T33SUC.2023192T094549.v2.0,HLS.S30.T33SUC.2023237T095031.v2.0,0.0,0.0,28.1,0.08526315789473685,plausible
217314,Belmonte Mezzagno,2023-07-18 11:05:52.885000,13.0,ok,24.84,0.18,359.0,HLS.S30.T33SUC.2023197T095031.v2.0,HLS.S30.T33SUC.2023237T095031.v2.0,0.0,0.0,31.4,0.013846153846153845,plausible
217090,Belmonte Mezzagno,2023-07-12 12:57:00,22.0,ok,166.95,3.96,71.0,HLS.S30.T33SUC.2023192T094549.v2.0,HLS.S30.T33SUC.2023237T095031.v2.0,0.0,0.0,37.0,0.18,plausible
217663,Belmonte Mezzagno,2023-07-23 12:51:00,25.0,ok,125.55,0.18,128.0,HLS.S30.T33SUC.2023197T095031.v2.0,HLS.S30.T33SUC.2023260T100031.v2.0,0.0,0.0,20.1,0.0072,plausible
217315,Belmonte Mezzagno,2023-07-18 11:06:07.649000,7.0,ok,17.46,0.18,16.0,HLS.S30.T33SUC.2023197T095031.v2.0,HLS.S30.T33SUC.2023237T095031.v2.0,0.0,0.0,27.3,0.025714285714285714,plausible
219517,Belmonte Mezzagno,2023-08-26 00:00:00,11.0,ok,1.35,0.63,756.0,HLS.S30.T33SUC.2023237T095031.v2.0,HLS.S30.T33SUC.2023292T095019.v2.0,0.0,0.0,19.5,0.057272727272727274,needs_manual_review_likely_noise
219532,Belmonte Mezzagno,2023-08-30 00:26:00,3.0,ok,1.08,0.18,587.0,HLS.S30.T33SUC.2023237T095031.v2.0,HLS.S30.T33SUC.2023292T095019.v2.0,0.0,0.0,25.1,0.06,needs_manual_review_likely_noise
220873,Santa Cristina Gela,2023-09-18 12:32:00,4.0,ok,0.0,3.15,1505.0,HLS.S30.T33SUC.2023260T100031.v2.0,HLS.S30.T33SUC.2023292T095019.v2.0,0.0,0.0,23.3,0.7875,needs_manual_review_likely_noise
279913,Belmonte Mezzagno,2025-08-29 00:00:00,2.0,ok,25.29,0.18,250.0,HLS.S30.T33SUC.2025239T100051.v2.0,HLS.S30.T33SUC.2025259T100041.v2.0,0.0,0.0,19.5,0.09,plausible
280308,Santa Cristina Gela,2025-08-28 11:51:00,10.0,ok,4.14,0.18,513.0,HLS.S30.T33SUC.2025239T100051.v2.0,HLS.S30.T33SUC.2025259T100041.v2.0,0.0,0.0,19.9,0.018,needs_manual_review_likely_noise
237207,Belmonte Mezzagno,2024-08-08 11:21:00,3.0,ok,0.9,0.72,637.0,HLS.S30.T33SUC.2024212T095031.v2.0,HLS.S30.T33SUC.2024270T100029.v2.0,0.0,0.0,25.5,0.24,needs_manual_review_likely_noise
235617,Belmonte Mezzagno,2024-07-29 00:00:00,2.0,ok,4.32,0.18,219.0,HLS.S30.T33SUC.2024202T095031.v2.0,HLS.S30.T33SUC.2024270T100029.v2.0,0.0,0.0,34.7,0.09,plausible
235616,Belmonte Mezzagno,2024-07-29 11:10:00,10.0,ok,0.99,0.81,469.0,HLS.S30.T33SUC.2024202T095031.v2.0,HLS.S30.T33SUC.2024270T100029.v2.0,0.0,0.0,28.9,0.081,plausible
275720,Belmonte Mezzagno,2025-07-24 11:06:44.089000,12.0,ok,59.67,0.9,165.0,HLS.S30.T33SUC.2025201T095029.v2.0,HLS.S30.T33SUC.2025259T100041.v2.0,0.0,0.0,21.5,0.075,plausible
275721,Santa Cristina Gela,2025-07-25 12:29:00,1.0,ok,61.74,0.72,287.0,HLS.S30.T33SUC.2025201T095029.v2.0,HLS.S30.T33SUC.2025259T100041.v2.0,0.0,0.0,20.8,0.72,plausible
275722,Belmonte Mezzagno,2025-07-24 11:06:53.946000,1.0,ok,56.43,50.58,306.0,HLS.S30.T33SUC.2025201T095029.v2.0,HLS.S30.T33SUC.2025259T100041.v2.0,0.0,0.0,21.8,50.58,needs_manual_review_likely_noise
275736,Misilmeri,2025-07-21 12:04:00,4.0,ok,3.69,0.18,212.0,HLS.S30.T33SUC.2025201T095029.v2.0,HLS.S30.T33SUC.2025259T100041.v2.0,0.0,0.0,16.0,0.045,plausible
275735,Belmonte Mezzagno,2025-07-24 00:00:00,29.0,ok,11.97,0.18,243.0,HLS.S30.T33SUC.2025201T095029.v2.0,HLS.S30.T33SUC.2025259T100041.v2.0,0.0,0.0,21.1,0.006206896551724138,plausible
275734,Belmonte Mezzagno,2025-07-24 00:00:00,10.0,ok,28.71,0.27,129.0,HLS.S30.T33SUC.2025201T095029.v2.0,HLS.S30.T33SUC.2025259T100041.v2.0,0.0,0.0,25.1,0.027000000000000003,plausible
275733,Belmonte Mezzagno,2025-07-24 00:00:00,4.0,ok,42.39,5.31,189.0,HLS.S30.T33SUC.2025201T095029.v2.0,HLS.S30.T33SUC.2025259T100041.v2.0,0.0,0.0,27.3,1.3275,plausible
278585,Belmonte Mezzagno,2025-08-13 00:00:00,4.0,ok,9.45,6.21,505.0,HLS.S30.T33SUC.2025221T095029.v2.0,HLS.S30.T33SUC.2025259T100041.v2.0,0.0,0.0,18.1,1.5525,needs_manual_review_likely_noise
279632,Belmonte Mezzagno,2025-08-28 11:51:00,5.0,ok,45.63,5.4,0.0,HLS.S30.T33SUC.2025239T100051.v2.0,HLS.S30.T33SUC.2025259T100041.v2.0,0.0,0.0,17.3,1.08,plausible
278583,Belmonte Mezzagno,2025-08-13 11:10:00,19.0,ok,5.31,2.52,8.0,HLS.S30.T33SUC.2025221T095029.v2.0,HLS.S30.T33SUC.2025259T100041.v2.0,0.0,0.0,29.3,0.13263157894736843,plausible
278584,Belmonte Mezzagno,2025-08-13 11:34:00,4.0,ok,5.67,0.27,492.0,HLS.S30.T33SUC.2025221T095029.v2.0,HLS.S30.T33SUC.2025259T100041.v2.0,0.0,0.0,27.7,0.0675,plausible
278586,Belmonte Mezzagno,2025-08-13 11:34:00,3.0,ok,4.86,0.45,201.0,HLS.S30.T33SUC.2025221T095029.v2.0,HLS.S30.T33SUC.2025259T100041.v2.0,0.0,0.0,25.1,0.15,plausible
279911,Belmonte Mezzagno,2025-08-29 00:00:00,12.0,ok,0.0,0.99,1312.0,HLS.S30.T33SUC.2025239T100051.v2.0,HLS.S30.T33SUC.2025259T100041.v2.0,0.0,0.0,23.3,0.0825,needs_manual_review_likely_noise
279912,Belmonte Mezzagno,2025-08-29 00:00:00,3.0,ok,3.6,2.88,483.0,HLS.S30.T33SUC.2025239T100051.v2.0,HLS.S30.T33SUC.2025259T100041.v2.0,0.0,0.0,25.6,0.96,plausible
41120,Borgetto,2020-07-29 12:12:00,7.0,ok,183.96,4.86,203.0,HLS.S30.T33SUC.2020208T095029.v2.0,HLS.S30.T33SUC.2020241T100029.v2.0,0.0,0.0,23.1,0.6942857142857143,plausible
42223,Borgetto,2020-08-11 11:10:43.646000,5.0,ok,0.0,0.27,1075.0,HLS.S30.T33SUC.2020213T095041.v2.0,HLS.S30.T33SUC.2020241T100029.v2.0,0.0,0.0,25.3,0.054000000000000006,needs_manual_review_likely_noise
42528,Borgetto,2020-08-21 00:24:00,12.0,ok,0.27,0.27,333.0,HLS.S30.T33SUC.2020233T095041.v2.0,HLS.S30.T33SUC.2020241T100029.v2.0,0.0,0.0,21.2,0.022500000000000003,plausible
41677,Borgetto,2020-08-04 11:12:00,20.0,ok,19.8,19.08,375.0,HLS.S30.T33SUC.2020213T095041.v2.0,HLS.S30.T33SUC.2020241T100029.v2.0,0.0,0.0,22.8,0.954,plausible
204033,Bolognetta,2022-06-24 17:05:57.042000,7.0,ok,28.62,0.18,183.0,HLS.S30.T33SUC.2022172T095041.v2.0,HLS.S30.T33SUC.2022197T094549.v2.0,0.0,0.0,29.9,0.025714285714285714,plausible
46438,Monreale,2021-03-01 11:42:00,13.0,ok,19.89,0.18,645.0,HLS.S30.T33SUC.2021037T095201.v2.0,HLS.S30.T33SUC.2021092T095029.v2.0,0.0,0.0,31.3,0.013846153846153845,needs_manual_review_likely_noise
