comune,localita,date,area_ha
CALTAVUTURO,Portella Mangiante,2024-06-23,51.3633
TERMINI IMERESE,Cava Buttitta,2025-08-28,51.3459
TERMINI IMERESE,Cozzo Giardinello,2023-07-25,51.0509
MISILMERI,Costa Marcione,2021-07-30,50.554
PALERMO,Manche di Bellolampo,,49.9367
PALERMO,Casuzze,2018-07-22,49.5899
SANTA CRISTINA GELA,Masseria TurdiepiSnta,2022-09-25,48.1346
TERMINI IMERESE,Cozzo Ligneri,2023-10-20,47.6269
PIANA DEGLI ALBANESI,Maganoce,,47.352
SAN CIPIRELLO,Monte Jato,2020-07-24,46.6221
MONREALE,Strasatto,2023-09-23,46.6
CARINI,Costa Montanellotto,,46.4837
MONREALE,Renda,2022-08-18,46.3998
PIANA DEGLI ALBANESI,Masseria Rossella,2025-08-01,46.0147
MONREALE,Valle Lupa,2020-09-23,45.36
PALERMO,Valle Orecchiuta,2020-06-04,44.8918
PALERMO,Capo Gallo,2020-08-10,44.2242
CONTESSA ENTELLINA,Miccina,2021-09-30,43.1947
PRIZZI,C. Feudotto,2023-09-21,42.9046
ALTOFONTE,SBANDUTO,2022-09-05,42.4711
BOLOGNETTA,Torretta,2022-06-27,42.156
MARINEO,cozzo serena,2022-07-16,42.0949
SANTA CRISTINA GELA,Cozzo Carriu,2022-09-25,42.0076
CASTRONOVO DI SICILIA,Contrada Fanaco,2021-07-29,41.9024
MONREALE,Masseria Manali,2024-07-18,40.7953
CERDA,Casa Fontana Rossa,2025-09-09,40.3585
MONREALE,carrubella,2022-05-24,40.2848
PALERMO,SERRO CHIARANDA,2022-07-28,40.0936
MISILMERI,Mennula,,39.4368
POLIZZI GENEROSA,Contrada Salice,2023-07-25,39.1615
VICARI,Liste Della Margana,2020-09-01,38.9505
MONREALE,Monte Mirto,2020-07-22,38.9198
CORLEONE,Contrada Giardinello,2021-09-21,38.8019
MONREALE,Kaggio,,38.7085
VALLEDOLMO,Castellazzo,2021-08-07,38.4393
PIANA DEGLI ALBANESI,Ducco,2022-08-28,38.3623
BOLOGNETTA,Pizzo Cicero,2025-08-28,38.1395
GODRANO,Monticchio,2023-10-24,37.947
SAN MAURO CASTELVERDE,Contrada Canalicchio,2021-08-07,37.9295
MONREALE,Contrada Marzuso,2023-08-23,37.8647
ALIMINUSA,Boscigliaro,2021-07-23,37.7615
GIARDINELLO,"Montagna Longa Di Sagana, Giardinello (PA)",,37.643
PALAZZO ADRIANO,Rocca Della Ferita,2022-09-19,37.2507
CASTELDACCIA,Pizzo Di Cane,2018-07-25,37.1
MONREALE,Contrada Guastella,2023-08-26,36.8444
PALERMO,Capo Gallo,,36.753
PALAZZO ADRIANO,Piano Di Fuscia,2024-03-31,36.6826
CONTESSA ENTELLINA,C.Colletti,2021-09-15,36.2133
TORRETTA,Torretta,2023-08-17,35.6804
CACCAMO,Diga Rosamarina,2023-09-05,35.4815
TERMINI IMERESE,Cozzo Dell' Imperatore,,35.0925
PALERMO,Pizzo Scala,,34.9799
CACCAMO,M. Rotondo,2021-06-28,34.3526
PARTINICO,Contrada Falconeria,2025-08-29,34.2599
SAN GIUSEPPE JATO,Vallone Bell'aria,,34.2255
CARINI,"Costa Fastuche, Carini (PA)",2018-07-16,34.2194
MEZZOJUSO,Contrada Scorciavacca,2018-06-29,33.8434
CACCAMO,"Monte Rotondo, Caccamo (PA)",2018-07-30,33.8141
PALAZZO ADRIANO,Bosco Di Rifesi,2022-09-20,33.7571
CONTESSA ENTELLINA,S. Rosalia,2025-08-29,33.6808
CIMINNA,VALLONE MARRAIA,2018-09-11,33.6778
TERMINI IMERESE,Piano D' Imera,2020-08-29,33.5209
MISILMERI,Costa Marcione,2025-08-20,33.4913
COLLESANO,Casa Tabarani,2024-05-08,33.3838
MONREALE,Monte Billiemi,2021-08-14,33.2415
CARINI,Cozzo Lupo,2022-09-25,33.1798
CASTRONOVO DI SICILIA,MARCATO BIANCO,,33.1002
TERRASINI,Paterna,2024-09-20,32.5089
MISILMERI,Risalaimi,2024-09-08,32.329
CACCAMO,Stazione di Roccapalumba - Roxiura,2020-06-18,32.2476
PALERMO,poggio ridente,2022-08-19,31.9635
MONTELEPRE,Costa Saracenello,,31.8619
SANTA CRISTINA GELA,Zotta del pomo,2022-09-08,31.7296
CHIUSA SCLAFANI,Contrada Cartuccio,2021-03-29,31.6891
POLIZZI GENEROSA,San Cono,2024-08-19,31.4425
ROCCAPALUMBA,"Borgo Manganaro, Roccapalumba (PA)",,31.3241
MISILMERI,Raffi,2020-08-20,31.1566
MISILMERI,Cozzo Montagnola,2023-08-14,30.8665
COLLESANO,Contrada Morgifuto,2023-10-20,30.8432
MONREALE,Monte Signora,2023-10-12,30.7614
MARINEO,Parco Vecchio,2024-07-22,30.3707
BELMONTE MEZZAGNO,Casale,2023-08-27,30.3592
PETRALIA SOTTANA,Irosa,2023-09-22,29.9291
