comune,localita,date,area_ha
SANTA CRISTINA GELA,Zotta del Pomo,2020-08-15,2.7923
ALTOFONTE,Montagna Di Rebuttone,2023-09-23,2.7908
PARTINICO,"Fosso Carrozza,",2022-09-03,2.7853
BAGHERIA,Case Parisi Alte,2025-06-07,2.7851
ALTOFONTE,S. Ciro,2021-08-09,2.7822
MONREALE,Monte Renda,2023-07-18,2.7739
MONREALE,Cozzo Paparina,2023-09-21,2.7612
MEZZOJUSO,Mezzojuso,2023-06-24,2.7548
MEZZOJUSO,Pizzo Condreo,2020-06-29,2.7486
SCIARA,Sciara Giardinaccio,2018-10-28,2.7366
TERMINI IMERESE,Danigarci,2020-06-17,2.7233
MONREALE,Caputo,2018-06-10,2.7158
CARINI,Pizzo Cirina,2022-03-28,2.7098
TORRETTA,Cozzo Ciaramiti,2025-08-08,2.694
ALTOFONTE,Valle Del Fico,2018-04-28,2.693
PIANA DEGLI ALBANESI,LASI,2020-05-16,2.689
CHIUSA SCLAFANI,Gurra,2024-07-04,2.6834
BISACQUINO,Triona,,2.6673
MONREALE,valle corta,2023-09-23,2.6656
BELMONTE MEZZAGNO,Pizzo Belmonte,2023-08-17,2.6609
SCIARA,Cozzi Secchi,2018-07-13,2.6348
MONREALE,"Pian Di Maglio, Monreale (PA)",,2.6142
MONREALE,Lago Poma,2021-08-16,2.6028
CHIUSA SCLAFANI,CHIUSA LA VECCHIA,2023-10-04,2.6012
MONREALE,Agrifoglio,2021-07-29,2.6
CIMINNA,Madonna Di Loreto,2018-09-04,2.5921
BISACQUINO,C.Argentiera,2022-08-22,2.5812
CERDA,Pizzo Della Guardia,2018-08-08,2.5811
CIMINNA,Contrada Pecorone,2018-09-12,2.5623
BISACQUINO,Triona,2021-05-27,2.5616
SCILLATO,Grisanti,2020-03-01,2.5607
GIARDINELLO,Montagna Longa di Sagana,,2.5596
PARTINICO,Valguarnera,2024-09-05,2.5526
PALAZZO ADRIANO,Cozzo Paletto,,2.5505
CACCAMO,pozzetto,,2.5502
SCIARA,GIARDINAZZO SAN CALOGERO,2018-11-18,2.5392
BAGHERIA,Cavallo di Mezzo,2020-05-03,2.5202
POLIZZI GENEROSA,"Contrada Santo Cono,",2021-08-11,2.5025
PARTINICO,Lago Poma,2023-07-11,2.4809
CIMINNA,Riserva Orientata A Serre Di Ciminna,2018-09-16,2.4634
MONTEMAGGIORE BELSITO,San Giovanni,2020-06-26,2.4569
CIMINNA,VALLONE MARRAIA,2018-09-06,2.4499
POLIZZI GENEROSA,San Cono,2020-09-11,2.4447
GIARDINELLO,Carcatizzi,2020-10-03,2.4385
ALTOFONTE,Valle Di Rebuttone,2020-08-20,2.4324
MEZZOJUSO,Contrada La Lacca,2023-10-21,2.4286
CASTRONOVO DI SICILIA,Contrada Fanaco,2021-07-28,2.4238
PIANA DEGLI ALBANESI,Intramizzi,2023-10-20,2.419
CACCAMO,Rocca Cavallo,,2.4184
MONREALE,Lago Poma,,2.4136
BELMONTE MEZZAGNO,Scala Dei Muli O Valle Di Belmonte,,2.3948
TERMINI IMERESE,Contrada S. Calogero,2022-06-14,2.3743
PARTINICO,Madonna Del Ponte,,2.3631
POLLINA,Pizzo Spina,2022-03-16,2.3546
ALIMINUSA,Aliminusa,2025-08-12,2.351
MISILMERI,Montagna Grande,2020-05-16,2.3455
CACCAMO,Roxiura,2022-09-16,2.3388
SCILLATO,"Contrada Scannale,Scillato",2022-06-26,2.3387
MISILMERI,Montagna Grande,2021-05-23,2.3379
MONREALE,Cambuca,,2.3294
CAMPOFELICE DI ROCCELLA,Piana Calzata,2022-08-01,2.3249
CACCAMO,Rocca Cavallo,2023-08-29,2.3176
MARINEO,Parco Vecchio,2024-05-27,2.3173
MONREALE,Miccini,2020-07-27,2.3153
CARINI,Costa La Mennula,2022-09-18,2.3066
CHIUSA SCLAFANI,Gurra,2022-09-03,2.2981
MONREALE,Poligono Militare Cippi,2022-09-13,2.297
GANGI,Gangi,2022-08-06,2.2925
BELMONTE MEZZAGNO,Jencheria,2025-07-13,2.2899
CACCAMO,Sannita,,2.2856
BELMONTE MEZZAGNO,Piano Casa,,2.2848
PARTINICO,Cannizzaro,2025-09-02,2.2829
PARTINICO,C/da Lazzarola Partinico (PA),2020-07-25,2.2773
PALERMO,Spinasanta,2021-05-13,2.2686
ALTOFONTE,Pizzo Di Valle Del Fico,,2.2652
SAN MAURO CASTELVERDE,Contrada Tiberio,2023-09-15,2.2599
CACCAMO,Rocca Grande,,2.2598
BISACQUINO,Cuzzitello,2024-08-21,2.2564
MONREALE,LAGO POMA SP.30 CAMBUCA,2023-09-18,2.2418
MONREALE,Miccini,2023-10-04,2.2406
CACCAMO,S. Giovanni,2022-02-22,2.2366
SANTA CRISTINA GELA,Ponte Lecchino,,2.2209
CACCAMO,Monte Ragiura,2021-07-08,2.1906
POLLINA,Contrada Montenero,2022-06-05,2.1879
MONREALE,brivatura,2020-02-14,2.1876
GIARDINELLO,Uliveto,2025-09-04,2.1858
CACCAMO,Angiletto,,2.1848
CIMINNA,Riserva Orientata A Serre Di Ciminna,,2.1832
PALAZZO ADRIANO,Monte Rose,2020-10-03,2.1746
BLUFI,Ferrarello,2020-06-29,2.1624
CONTESSA ENTELLINA,S. Rosalia,2023-09-12,2.1437
CERDA,Vignazza,,2.143
ALIA,Tre Denari,2018-04-15,2.1354
CALTAVUTURO,Prestinfuso,2023-03-25,2.1329
CACCAMO,Acqua grande,2022-07-24,2.1316
TERMINI IMERESE,Monte San Calogero,2020-08-29,2.1265
MONREALE,Valle Taio,2022-07-02,2.1195
MONREALE,"Via Val Paradiso, Monreale (PA)",,2.1125
CHIUSA SCLAFANI,Cerniglio,2023-03-30,2.1117
ISNELLO,Monte Grotta Grande,2022-08-09,2.1066
MONREALE,Miccini,2025-06-08,2.0989
MONTELEPRE,Acque Colate,2025-07-22,2.0962
TERMINI IMERESE,Cozzo Dell' Imperatore,,2.0916
TERMINI IMERESE,Monte cipolla,2018-07-25,2.0848
POLIZZI GENEROSA,Case Bistorno,2023-08-28,2.0787
SCIARA,Monte S. Calogero,2020-07-12,2.0754
SANTA CRISTINA GELA,Salice,2021-08-11,2.0697
CONTESSA ENTELLINA,Patellaro,2024-06-23,2.0573
MEZZOJUSO,Mezzojuso,2023-07-13,2.0363
PETRALIA SOPRANA,Bonascichi,2024-04-06,2.0288
PALERMO,Monte Pellegrino,2021-09-25,2.0194
ALTOFONTE,Buttafuoco,,2.0189
MONREALE,Giacalone,2022-07-24,2.0171
CASTRONOVO DI SICILIA,Contrada Magaloggino,2022-10-09,2.0169
VENTIMIGLIA DI SICILIA,Pizzo Inferno,2023-11-21,2.0122
ALTAVILLA MILICIA,cannemasche,2024-04-04,2.0063
MONREALE,Lago Poma,2022-09-19,2.0049
TERMINI IMERESE,Lignari,2023-10-05,1.9899
CIMINNA,Riserva Orientata A Serre Di Ciminna,2023-03-17,1.9879
MONREALE,Cozzo Campanazzo,2022-04-27,1.984
MONREALE,Monte Fiascone,2021-08-10,1.9783
BISACQUINO,Cozzo Serro,,1.9731
PARTINICO,Casa Rama,,1.9724
SANTA CRISTINA GELA,Salice,2025-07-21,1.9568
CONTESSA ENTELLINA,S. Rosalia,2025-07-25,1.9482
MONREALE,Contrada Fellamonica,2025-07-21,1.9386
CALTAVUTURO,Contrada Ginestra,2024-05-04,1.9379
GIARDINELLO,Carcatizzi,2025-08-28,1.9005
GIARDINELLO,Piano Arancio,2025-09-01,1.8991
TERMINI IMERESE,Danigarci,2022-06-27,1.8795
SCILLATO,Cammisini,,1.8729
SANTA FLAVIA,Portella Costa Trabia,2018-09-17,1.8722
MONREALE,Cava Mirto,2018-08-19,1.8698
TORRETTA,Piano dell'occhio,2023-03-17,1.8572
BAGHERIA,Porcara,2025-09-18,1.8536
MONREALE,Renda,,1.8494
POLLINA,Cozzo Pisano,,1.8482
CASTRONOVO DI SICILIA,Castronovo,2023-08-26,1.8286
SCIARA,Casa Giardinaccio,,1.8284
ROCCAMENA,Casalotto,2022-08-27,1.8231
PRIZZI,Contrada Martino,2025-08-24,1.8177
PARTINICO," Arnao, Partinico (PA)",2025-07-21,1.8166
BISACQUINO,La Madonna del Balzo,2022-06-27,1.802
CIMINNA,Cozzo Campana,,1.7911
MONREALE,Villaggio S. Anna,2025-07-28,1.7792
CHIUSA SCLAFANI,Trullo,2021-09-26,1.7723
ALIA,Contrada Gulfa,2021-06-06,1.7697
CARINI,Bausu Moscala,2018-08-12,1.7692
PIANA DEGLI ALBANESI,Brigna,2025-09-10,1.764
SAN MAURO CASTELVERDE,Porto Salvo Arvani,2020-08-02,1.7625
PIANA DEGLI ALBANESI,Intramizzi,2023-03-25,1.7537
POLLINA,Contrada Carrara,2018-03-14,1.7531
MONREALE,lago Poma,2025-10-06,1.7486
TERMINI IMERESE,Rocca Soprana,2024-05-07,1.7469
SCIARA,Valle Sgarlata,2020-08-13,1.7422
VENTIMIGLIA DI SICILIA,Traversa,2018-09-14,1.7401
POLIZZI GENEROSA,Polizzi Generosa,2023-08-01,1.7286
MONREALE,"Lanzarola lago Poma, Monreale(PA)",2024-07-28,1.7051
PALERMO,Balzo Cavallo,2020-08-12,1.7011
MONREALE,Lago Poma,2021-09-08,1.6809
BAGHERIA,Monte Catalfano,,1.6758
ALIA,Tre Denari,2023-10-18,1.6694
POLLINA,Contrada Montenero,,1.6693
PALAZZO ADRIANO,Contrada Raia,2024-06-08,1.6674
TERMINI IMERESE,Contrada Madonna Diana,,1.6653
ALTOFONTE,Bosco Di Rebuttone,2022-06-12,1.6642
BISACQUINO,Bruca,2022-09-02,1.6592
MONREALE,Costa Busino,2025-07-14,1.6585
POLIZZI GENEROSA,Monte Quacella,2024-05-16,1.6577
CASTELBUONO,Contrada Comune,,1.6484
SANTA CRISTINA GELA,Costa Del Lupo,2018-08-07,1.6482
GERACI SICULO,Contrada Calabro,2018-07-23,1.6422
CASTRONOVO DI SICILIA,Pizzo Lupo,2021-03-31,1.6138
MONTELEPRE,pizzo nave,,1.585
MONTEMAGGIORE BELSITO,Piano Di Forgia,2022-06-07,1.5818
PARTINICO,Conigliera,2025-06-17,1.5671
MARINEO,Fontana Favarotta,2025-09-20,1.5649
MONREALE,Contrada Billiemi,2023-08-31,1.5639
MONREALE,Valle Lupa,2023-09-21,1.5582
PALERMO,Monte Pellegrino,2020-08-29,1.5557
POLIZZI GENEROSA,"Dirupo Bianco, Polizzi Generosa (PA)",2023-10-22,1.5407
CACCAMO,Serrone,,1.5369
MONREALE,Cozzo Paparina,2020-08-14,1.5363
MONREALE,Valle Presti,2022-07-31,1.5357
MONREALE,Case Barone,2025-08-15,1.5281
PETRALIA SOPRANA,Pineta Comunale,2025-07-21,1.528
CIMINNA,Contrada Cassone,2022-09-29,1.5228
POLLINA,Pian Di Pasquale,2020-08-15,1.5225
SANTA CRISTINA GELA,Dragonara,2020-07-14,1.5097
MONREALE,Lago Poma,2024-08-31,1.5034
MONREALE,Cambuca,,1.5032
VILLAFRATI,Cozzo Chiarello,,1.499
MONTELEPRE,Montelepre,2022-08-06,1.4875
MONREALE,"cozzo san tommaso,  Monreale (PA)",,1.4837
GIARDINELLO,Uliveto,2025-08-21,1.4831
CACCAMO,Monte Ragiura,2018-07-10,1.4823
MONREALE,Caculla,2022-08-08,1.4696
CASTRONOVO DI SICILIA,Santuario Di Piedigrotta,,1.4681
SANTA CRISTINA GELA,Zotta del Pomo,2021-08-19,1.4647
TERRASINI,Gazzara,,1.4599
MONREALE,Agrifoglio,2021-08-04,1.4523
MONTELEPRE,Monte D'Oro,2020-06-27,1.4522
BELMONTE MEZZAGNO,Portella Del Vecchio,,1.4517
SANTA CRISTINA GELA,Pietra Del Corvo,2020-06-20,1.4486
TERMINI IMERESE,Contrada Franco,2022-06-04,1.447
MONREALE,Monte Petroso,2022-07-13,1.444
CACCAMO,San Nicola,,1.4362
MONREALE,Marzuso,2021-06-19,1.4281
MONTEMAGGIORE BELSITO,Cordaro,2020-08-03,1.4255
MONTELEPRE,Monte D'Oro,2020-08-01,1.4232
BISACQUINO,C.Argentiera,2022-08-23,1.4163
CARINI,COSTA BUFFA,,1.4148
MONREALE,Strasatto,2018-09-10,1.4135
CAMPOFELICE DI FITALIA,Polizzotto,2024-07-20,1.4061
MONREALE,Caputo,,1.4053
ALIMINUSA,Uscillaro,,1.4007
VILLAFRATI,Pizzo Avvoltoio,2018-09-27,1.3929
VENTIMIGLIA DI SICILIA,Bacchero,,1.3901
TERMINI IMERESE,Serra Comune,2022-06-18,1.3869
PALERMO,poggio ridente,2020-05-06,1.3775
GRATTERI,Gallefina - Tribuna,2022-10-21,1.373
CONTESSA ENTELLINA,Contessa Entellina,2024-04-03,1.3703
PALERMO,Ciaculli,2023-05-04,1.3654
MONREALE,Aglisotto,2020-10-03,1.3617
TERMINI IMERESE,Chiusa Termini Imerese,,1.3585
CORLEONE,Contrada Lavanche,2025-06-11,1.3559
SANTA FLAVIA,Solunto,2018-05-12,1.3553
POLIZZI GENEROSA,Case Dirupo Bianco,2023-07-25,1.3406
CONTESSA ENTELLINA,S.MARIA DEL BOSCO,2023-04-08,1.3388
BISACQUINO,La Madonna del Balzo,2022-07-11,1.3388
POLIZZI GENEROSA,Contrada Fiumazzo,2021-08-08,1.332
GANGI,Contrada Zappaiello,2018-07-04,1.3295
CALTAVUTURO,Monte Riparato,2023-06-25,1.3265
PIANA DEGLI ALBANESI,LASI,2018-07-23,1.3214
MONTELEPRE,Mazza Martino,,1.3172
MONREALE,Cannavera,2020-10-02,1.313
CASTRONOVO DI SICILIA,Castronovo,2022-08-28,1.3109
ALTOFONTE,Piano Ferla,,1.3095
POLIZZI GENEROSA,Contrada Chiaretta,2025-06-24,1.309
MONREALE,Lago Poma,2021-08-25,1.3088
PALERMO,Monte Pellegrino,2025-07-20,1.3018
MONREALE,Agrifoglio,2021-08-05,1.2978
MONREALE,Monte Dammusi,2018-08-10,1.2898
MONREALE,Caculla,2025-08-01,1.2861
POLIZZI GENEROSA,Cava S. Croce (Di Pietra),2020-11-10,1.2834
BISACQUINO,C.Tarucco,2020-08-30,1.28
GIULIANA,Valentino,2023-10-18,1.2783
CARINI,Fiume Falco,,1.273
ROCCAMENA,Casalotto,2022-08-28,1.2675
GIARDINELLO,Carcatizzi,2025-07-07,1.2605
POLIZZI GENEROSA,rio secco,2021-08-07,1.2582
MONREALE,Monte Petroso,2022-06-25,1.2556
MONREALE,Contrada Marzuso,2025-07-04,1.2554
TERMINI IMERESE,Casa Bova,,1.2384
PALAZZO ADRIANO,Cerza,2018-07-01,1.2365
TERMINI IMERESE,Monte San Calogero,,1.2356
GIULIANA,Giuliana,2024-11-07,1.2352
MONREALE,Renda,2018-08-01,1.2315
GRATTERI,"Contrada Gallefina, Gratteri (PA)",,1.2153
PARTINICO,Lago Poma,2022-09-09,1.2045
MONREALE,Vallone dei Cippi,2022-09-23,1.189
PALAZZO ADRIANO,Palazzo Adriano,,1.1889
GIARDINELLO,Cozzo Carcatizzi,2018-07-10,1.1867
CINISI,Porcaria,2022-07-08,1.1841
PALAZZO ADRIANO,Palazzo Adriano,,1.1794
PARTINICO,Lago Poma,2022-09-08,1.1786
CAPACI,"Zarcati,",2020-08-28,1.1668
SANTA CRISTINA GELA,"Sulfarelli C/da, Santa Cristina GELA (PA)",,1.1661
MONTELEPRE,Monte D'Oro,2023-08-28,1.1649
SAN GIUSEPPE JATO,Fosso della Chiusa,2018-09-18,1.1563
MONREALE,Renda,2022-07-24,1.1522
PALERMO,Capo Gallo,2022-08-19,1.1512
MONREALE,Miccini,2020-09-09,1.1502
BOLOGNETTA,Cozzo S.Anna,2025-08-29,1.1462
PIANA DEGLI ALBANESI,LASI,2018-10-01,1.1167
MONREALE,sportiviolo,2022-07-05,1.1032
GIARDINELLO,Oliveto,2025-08-19,1.0942
MONREALE,Pizzo Mastrangelo (PA),2018-04-16,1.0849
PIANA DEGLI ALBANESI,Maganoce,2020-09-25,1.0824
CHIUSA SCLAFANI,Ruzzolone,2024-08-15,1.0803
MONREALE,Cozzo Paparina,,1.0795
MONREALE,Piano dell'Occhio,2022-10-31,1.0773
BELMONTE MEZZAGNO,Finocchiara,2018-04-29,1.0714
POLLINA,"Zabbara , Pollina (PA)",2022-10-02,1.07
ISNELLO,Isnello,2022-09-29,1.0695
MONTEMAGGIORE BELSITO,Santissimo,2023-06-19,1.0657
MONREALE,Renda,2018-08-14,1.0629
CASTRONOVO DI SICILIA,Pizzo Lupo,2018-07-25,1.0604
MONTEMAGGIORE BELSITO,Bevaio Battaglia,,1.06
BELMONTE MEZZAGNO,Jencheria,2022-06-23,1.0569
MONREALE,Cambuca,2023-09-14,1.0564
POLLINA,"Rango, Pollina (PA)",,1.0531
BAUCINA,Case Facella - Lorenzo,2023-08-22,1.0473
BAGHERIA,Monte Catalfano,2022-04-08,1.0433
TRABIA,Danigarci S. Onofrio,2025-09-23,1.039
POLIZZI GENEROSA,giurfaria,2024-05-02,1.0296
CHIUSA SCLAFANI,Gurra,,1.0261
MONREALE,catusello,2018-01-07,1.0209
PARTINICO,Monte Cesaro,2025-07-22,1.0197
MEZZOJUSO,Zotta di porco,,1.0128
TERMINI IMERESE,Cozzo Ligneri,2022-06-28,1.012
MONTEMAGGIORE BELSITO,Piano Di Forgia,2018-07-11,1.0093
TORRETTA,Sommariva,2024-09-06,1.0091
MONTELEPRE,Monte D'Oro,2020-10-03,1.0082
GIARDINELLO,Costa Lavata,,1.0074
PIANA DEGLI ALBANESI,Dingoli,2023-02-25,1.0031
GERACI SICULO,Casa Canale,2021-06-07,0.998
PALERMO,SERRO CHIARANDA,2020-08-13,0.9977
MONREALE,Giacalone,2021-08-04,0.9946
CARINI,Monte Colombrina,2022-07-22,0.9939
BAGHERIA,Porcara,2025-08-15,0.9895
CASTELDACCIA,Case Nuove,2021-06-04,0.9804
CARINI,Pirato,2022-07-13,0.9798
CHIUSA SCLAFANI,C.,2024-04-13,0.9784
GIARDINELLO,Chiannarance,2021-07-11,0.9722
PARTINICO,Lago Poma,2022-09-10,0.9627
CACCAMO,Roxiura,2025-07-21,0.9577
POLLINA,Pollina,2025-03-15,0.9545
MONREALE,Contrada Bifarera,2025-08-03,0.9371
MONREALE,Bosco Scalia,,0.9316
MEZZOJUSO,Cozzo Bonito,2024-10-17,0.9283
MONREALE,Portella S. Anna,,0.9275
CARINI,Pirato,2022-07-18,0.9078
MARINEO,Stretto di Marineo,2023-09-21,0.9048
POLLINA,Cozzo Vaciliera,,0.898
BELMONTE MEZZAGNO,Casale,2025-07-16,0.8892
CACCAMO,Rocca S. Felice,2024-03-25,0.8776
MONREALE,Renda,2018-07-27,0.8769
BELMONTE MEZZAGNO,Montagnoli,2025-07-28,0.8753
MONREALE,Contrada Giancaldara,2024-09-15,0.8567
CASTRONOVO DI SICILIA,Santuario Di Piedigrotta,2020-08-12,0.8553
CARINI,Curva Battaglia,,0.8526
CORLEONE,Colla,2024-08-03,0.8496
CACCAMO,Cangemi,2025-07-30,0.847
MONTELEPRE,Cozzo Di Vite,2022-07-14,0.8398
PALERMO,"ERCTRA, Palermo (PA)",,0.8279
BOLOGNETTA,Cozzo Del Lupo,2020-06-04,0.8222
PIANA DEGLI ALBANESI,Dingoli,2021-06-05,0.8152
SANTA CRISTINA GELA,Ponte Lecchino,2020-08-26,0.8131
BELMONTE MEZZAGNO,Casale,2025-07-07,0.8102
MONREALE,LAGO POMA SP.30 CAMBUCA,2022-08-15,0.8098
COLLESANO,Casa Basalaci,2025-04-07,0.8042
TERMINI IMERESE,"cozzo imperatore,Termini Imerese",,0.8041
PIANA DEGLI ALBANESI,Piana Degli Albanesi,2025-08-11,0.7957
SAN MAURO CASTELVERDE,Contrada Karsa,2021-07-02,0.7675
CACCAMO,Eremo San Felice,2022-10-03,0.7647
MARINEO,Massariotta,2024-07-01,0.7631
CARINI,Costa Perriera,2021-08-25,0.7545
MARINEO,Favarotta,2024-08-27,0.753
CINISI,ACCITELLA,2021-06-25,0.7515
MARINEO,Cozzo Quadarone,2024-06-23,0.7455
CALTAVUTURO,Monte Riparato,2022-03-25,0.7368
CASTELLANA SICULA,Cozzo Serre Rosse,2025-09-23,0.7358
CASTRONOVO DI SICILIA,Santuario Di Piedigrotta,2021-08-01,0.7338
PALERMO,cozzo san calogero,2018-08-10,0.7319
CASTELLANA SICULA,Nociazzi,2025-09-06,0.723
BAUCINA,balatelle,2021-07-04,0.7218
GIULIANA,Giuliana,,0.7205
ALIA,Ulisanisa,,0.7159
CACCAMO,"Faino, Caccamo",,0.7106
BELMONTE MEZZAGNO,vasche s.salvatore,2025-07-13,0.7079
GERACI SICULO,san callisto,,0.7076
POLLINA,Contrada Serradaino,,0.7037
MONREALE,C. Mirto,2021-06-23,0.6982
PALAZZO ADRIANO,ZOTTA GRANDE CARDI,2020-10-06,0.686
ALTOFONTE,Frassinello,2023-08-04,0.6809
ROCCAPALUMBA,Roccapalumba,2022-06-27,0.68
BISACQUINO,Vaccarizzotto,2023-09-08,0.6739
CARINI,COSTA BUFFA,2025-05-10,0.6736
VALLEDOLMO,Valledolmo,2022-09-20,0.6725
TRABIA,Trabia,2025-04-26,0.6696
GIARDINELLO,"Acque Colate,",2022-10-09,0.6687
MONREALE,Vallone dei Cippi,2018-07-19,0.6673
BAGHERIA,Monte Consona,2025-08-23,0.6628
ISNELLO,Contrada Giacchino,,0.6601
TERMINI IMERESE,Monte San Calogero,,0.6586
MONREALE,Villa Renda,2025-07-25,0.6496
POLIZZI GENEROSA,Polizzi Generosa,2023-07-13,0.6486
MONTELEPRE,Calcerame,,0.6429
PALERMO,Sferracavallo,2020-06-26,0.6341
CHIUSA SCLAFANI,Chiusa Sclafani,2024-04-14,0.6331
SANTA CRISTINA GELA,Pianetto,2025-07-08,0.6293
CAPACI,Quarara,2023-09-13,0.62
MONREALE,Pioppo,,0.6087
MONTEMAGGIORE BELSITO,BATTAGLIA MONTEMAGGIORE BELSITO (PA),,0.6069
CINISI,Costa Del Furi,,0.6052
MONREALE,Lago Poma,2018-08-28,0.5955
MONREALE,Piano Geli,2025-08-05,0.588
PALERMO,Villa Belmonte,2023-12-01,0.5876
MONREALE,Casa Cambuca,2021-07-08,0.5872
MARINEO,Luisa,2025-09-20,0.5858
SANTA CRISTINA GELA,Pietra Del Corvo,2020-06-23,0.5857
CAMPOFELICE DI FITALIA,Campofelice Di Fitalia,2024-07-20,0.5782
MONTELEPRE,Suvarelli,2023-08-23,0.5752
CALTAVUTURO,Fuci,2024-04-08,0.5735
ALIMENA,Colle S. Alfonzo,2022-07-25,0.57
CASTELBUONO,Piano Marchese,,0.5643
POLIZZI GENEROSA,Granci Sotto,2022-04-22,0.5601
PALERMO,Baida,2023-08-24,0.5462
MONTELEPRE,Monte D'Oro,2022-08-30,0.5428
COLLESANO,Contrada Morgifuto,2022-08-30,0.5403
MONREALE,Giacalone,,0.5375
CAMPOFIORITO,Parrina,2025-09-14,0.5352
POLIZZI GENEROSA,Contrada Sorgitore,2022-02-11,0.5254
GODRANO,Contrada Cannitello,2023-08-22,0.5213
MONREALE,Miccini,,0.5161
LASCARI,Landro Nuovo,,0.5045
ALTOFONTE,Salvina,2018-03-02,0.5019
PALERMO,Vallone Scala di Carini,2018-06-30,0.5015
MONTELEPRE,Monte D'Oro,2023-07-19,0.5005
MONREALE,Valle Taio,2023-07-24,0.4971
GERACI SICULO,Costa Gropparo,2024-04-07,0.4949
PALERMO,Vergine,2022-06-23,0.4912
PALAZZO ADRIANO,Boschigliera,2021-04-04,0.4886
ALIMINUSA,Aliminusa,2020-07-21,0.482
GERACI SICULO,Geraci Siculo,2021-09-02,0.4775
CONTESSA ENTELLINA,Contessa Entellina,,0.4753
SCIARA,Cozzo Granato,2018-08-01,0.4692
CASTELDACCIA,Case Randino Nuove,2018-04-02,0.4657
BISACQUINO,Vaccarizzotto,2022-09-02,0.4648
GIULIANA,Bivio Mulini,2024-07-12,0.4576
POLIZZI GENEROSA,San Pietro,2024-03-25,0.4552
PARTINICO,Lago Poma,2020-09-30,0.4527
CALTAVUTURO,Caltavuturo,,0.4507
TORRETTA,Areddara,2025-09-23,0.4497
MONTELEPRE,Calcerame,2021-06-20,0.4448
MONTELEPRE,Monte D'Oro,2022-07-31,0.4404
GIARDINELLO,"Carcatilli, Giardinello",2021-06-21,0.4395
MONREALE,Cannavera,2020-10-03,0.4393
MONREALE,Lago Poma,2018-09-02,0.4391
MONTELEPRE,Contrada Cortiglia,2022-09-23,0.436
CARINI,Caparello,,0.4349
BISACQUINO,Ferro,2020-06-27,0.4304
BELMONTE MEZZAGNO,Pizzo Belmonte,,0.4282
POLIZZI GENEROSA,San Cono,2022-07-19,0.4257
CHIUSA SCLAFANI,Monte Lucerto,2025-09-17,0.4236
PALERMO,Ciaculli,,0.4227
TERMINI IMERESE,Contrada Caracoli,2024-07-29,0.4194
SANTA CRISTINA GELA,Intarmidzi,2020-11-09,0.4193
CASTRONOVO DI SICILIA,Borgacce,2018-07-21,0.412
CALTAVUTURO,Rocca Di Sciara,2024-05-14,0.4099
CALTAVUTURO,Casa S. Venere,2024-05-20,0.4036
CARINI,Stazzone,2023-10-20,0.4007
CHIUSA SCLAFANI,Torre,2025-04-24,0.4005
CARINI,Manostalla,2022-08-07,0.3986
TERMINI IMERESE,Casa Inguaggiato,2025-07-25,0.3961
COLLESANO,Cammisini,2025-10-14,0.3956
BISACQUINO,Martinazzo,2020-08-30,0.3927
CHIUSA SCLAFANI,Monte Peloso,2022-09-04,0.392
TERMINI IMERESE,Monte San Calogero,2024-11-07,0.3864
CHIUSA SCLAFANI,Cardillo,2024-08-27,0.3848
TERMINI IMERESE,Contrada Madonna Diana,2020-01-20,0.3727
MONREALE,Villaggio S. Anna,2025-07-15,0.3693
TERRASINI,Costa Di Ramaria,2018-09-18,0.3661
MONREALE,Monte Petroso,2022-08-03,0.3658
CARINI,Acqua Canale,2024-09-05,0.3635
CARINI,Costa Perrere,2021-07-30,0.3634
POLIZZI GENEROSA,San Cono,2023-07-15,0.3633
PALERMO,Bellolampo,2018-08-10,0.3558
MONREALE,Lago Poma,2023-07-19,0.3533
BISACQUINO,Cozzo Serro,2020-06-23,0.3473
CARINI,Curva Battaglia,2023-09-10,0.3436
POLIZZI GENEROSA,Sotto il Corvo,2025-05-28,0.3408
COLLESANO,Contrada Pozzetti,2024-08-27,0.3403
PIANA DEGLI ALBANESI,LA PIZZUTA,2023-10-19,0.3392
CALTAVUTURO,Chiusa,2024-06-01,0.3352
MONTELEPRE,Montelepre,2021-10-06,0.332
CHIUSA SCLAFANI,Monte Lucerto,2018-06-01,0.327
TORRETTA,Vallone Susinna,2023-10-31,0.3194
PIANA DEGLI ALBANESI,Cozzo Carnesi,2024-07-20,0.3194
CALTAVUTURO,"Zorba, Caltavuturo (PA)",2024-04-09,0.3173
TORRETTA,Piano S. Nicolò,2025-07-07,0.3086
MONTELEPRE,Monte Calcerame,2022-09-15,0.3082
SANTA CRISTINA GELA,Madonna Di Scanzano,2025-07-05,0.3073
MONREALE,Valle Taio,,0.2886
CINISI,piano margi,2021-06-27,0.2876
MONREALE,Contrada Giancaldara,2021-09-09,0.2825
MONTELEPRE,Finocchiara,2025-07-26,0.2794
CALTAVUTURO,Monte Riparato,,0.2789
CACCAMO,Complesso Boscato Monte Cane,2023-04-14,0.2762
POLLINA,Cozzo Zurrica,2018-04-22,0.2708
PIANA DEGLI ALBANESI,LASI,2018-07-09,0.2642
CARINI,Costa Parisi,2023-05-07,0.2629
POLIZZI GENEROSA,giurfaria,2023-03-29,0.2571
POLIZZI GENEROSA,Polizzi Generosa,2023-08-06,0.2494
POLIZZI GENEROSA,Polizzi Generosa,2023-07-15,0.2491
PALERMO,Statua S. Rosalia,2018-07-15,0.2394
