fire_id,comune,fire_date,area_ha,day_or_night_ignition,pct_agricultural_landcover,pastureland_context_flag,shape_compactness,straight_edge_fraction,geometric_shape_flag
209359,Misilmeri,2022-08-18 11:15:00.000,86,day,85.1,near/in agricultural land,0.408,0.358,True
209596,Misilmeri,2022-08-18 00:00:00.000,15,night,0.0,not predominantly agricultural,0.688,0.161,False
209602,Belmonte Mezzagno,2022-08-18 00:00:00.000,12,night,16.7,not predominantly agricultural,0.365,0.233,False
208696,Belmonte Mezzagno,2022-08-02 12:55:00.000,9,day,10.0,not predominantly agricultural,0.545,0.497,True
208697,Belmonte Mezzagno,2022-08-02 12:55:00.000,7,day,0.0,not predominantly agricultural,0.289,0.426,True
223096,Santa Cristina Gela,2023-10-19 12:00:00.000,6,day,0.0,not predominantly agricultural,0.687,0.266,False
221077,Belmonte Mezzagno,2023-09-22 00:43:00.000,38,night,51.2,near/in agricultural land,0.311,0.31,False
217090,Belmonte Mezzagno,2023-07-12 12:57:00.000,22,day,23.8,not predominantly agricultural,0.449,0.441,True
217089,Belmonte Mezzagno,2023-07-13 11:49:00.000,19,day,0.0,not predominantly agricultural,0.513,0.406,True
217313,Belmonte Mezzagno,2023-07-18 12:44:00.000,36,day,2.8,not predominantly agricultural,0.37,0.334,False
217314,Belmonte Mezzagno,2023-07-18 11:05:52.885,13,day,0.0,not predominantly agricultural,0.406,0.403,True
217315,Belmonte Mezzagno,2023-07-18 11:06:07.649,7,day,0.0,not predominantly agricultural,0.931,0.179,False
221078,Misilmeri,2023-09-21 20:51:00.000,603,night,14.4,not predominantly agricultural,0.282,0.104,False
217663,Belmonte Mezzagno,2023-07-23 12:51:00.000,25,day,46.4,near/in agricultural land,0.466,0.489,True
219517,Belmonte Mezzagno,2023-08-26 00:00:00.000,11,night,0.0,not predominantly agricultural,0.419,0.358,True
219520,Belmonte Mezzagno,2023-08-27 11:53:00.000,194,day,1.5,not predominantly agricultural,0.308,0.434,True
219522,Misilmeri,2023-08-28 00:13:00.000,175,night,26.4,not predominantly agricultural,0.247,0.245,False
219532,Belmonte Mezzagno,2023-08-30 00:26:00.000,3,night,50.0,near/in agricultural land,0.402,0.243,False
221075,Belmonte Mezzagno,2023-09-22 00:43:00.000,122,night,12.4,not predominantly agricultural,0.488,0.444,True
220873,Santa Cristina Gela,2023-09-18 12:32:00.000,4,day,0.0,not predominantly agricultural,0.341,0.276,False
235617,Belmonte Mezzagno,2024-07-29 00:00:00.000,2,night,0.0,not predominantly agricultural,0.559,0.461,True
235616,Belmonte Mezzagno,2024-07-29 11:10:00.000,10,day,22.2,not predominantly agricultural,0.76,0.202,False
237207,Belmonte Mezzagno,2024-08-08 11:21:00.000,3,day,0.0,not predominantly agricultural,0.636,0.194,False
279913,Belmonte Mezzagno,2025-08-29 00:00:00.000,2,night,0.0,not predominantly agricultural,0.946,0.138,False
280308,Santa Cristina Gela,2025-08-28 11:51:00.000,10,day,10.0,not predominantly agricultural,0.856,0.33,False
275720,Belmonte Mezzagno,2025-07-24 11:06:44.089,12,day,22.2,not predominantly agricultural,0.442,0.397,True
275721,Santa Cristina Gela,2025-07-25 12:29:00.000,1,day,0.0,not predominantly agricultural,0.783,0.09,False
275722,Belmonte Mezzagno,2025-07-24 11:06:53.946,1,day,0.0,not predominantly agricultural,0.824,0.176,False
275736,Misilmeri,2025-07-21 12:04:00.000,4,day,60.0,near/in agricultural land,0.326,0.379,True
275733,Belmonte Mezzagno,2025-07-24 00:00:00.000,4,night,0.0,not predominantly agricultural,0.55,0.383,True
275734,Belmonte Mezzagno,2025-07-24 00:00:00.000,10,night,0.0,not predominantly agricultural,0.213,0.366,True
275735,Belmonte Mezzagno,2025-07-24 00:00:00.000,29,night,19.4,not predominantly agricultural,0.43,0.321,False
278583,Belmonte Mezzagno,2025-08-13 11:10:00.000,19,day,0.0,not predominantly agricultural,0.454,0.383,True
278584,Belmonte Mezzagno,2025-08-13 11:34:00.000,4,day,25.0,not predominantly agricultural,0.522,0.493,True
278585,Belmonte Mezzagno,2025-08-13 00:00:00.000,4,night,0.0,not predominantly agricultural,0.733,0.135,False
278586,Belmonte Mezzagno,2025-08-13 11:34:00.000,3,day,50.0,near/in agricultural land,0.401,0.343,False
279632,Belmonte Mezzagno,2025-08-28 11:51:00.000,5,day,33.3,near/in agricultural land,0.778,0.257,False
279911,Belmonte Mezzagno,2025-08-29 00:00:00.000,12,night,0.0,not predominantly agricultural,0.858,0.313,False
279912,Belmonte Mezzagno,2025-08-29 00:00:00.000,3,night,0.0,not predominantly agricultural,0.46,0.428,True
280307,Santa Cristina Gela,2025-09-02 00:16:00.000,215,night,0.9,not predominantly agricultural,0.548,0.637,True
15110,Sambuca di Sicilia,2018-07-29 00:00:00.000,266,night,39.0,near/in agricultural land,0.613,0.414,True
51879,Campofiorito,2021-08-04 21:45:00.000,105,night,52.4,near/in agricultural land,0.327,0.189,False
50515,Caltabellotta,2021-07-12 11:51:00.000,746,day,25.0,not predominantly agricultural,0.427,0.373,True
26158,Villafrati,2020-05-25 10:46:29.464,38,day,100.0,near/in agricultural land,0.954,0.0,False
42860,Bolognetta,2020-08-20 09:40:00.000,321,day,26.2,not predominantly agricultural,0.373,0.378,True
52599,Villafrati,2021-08-07 09:35:00.000,80,day,66.7,near/in agricultural land,0.369,0.259,False
51915,Bolognetta,2021-08-05 00:33:00.000,46,night,33.3,near/in agricultural land,0.258,0.372,True
50658,Villafrati,2021-07-15 00:00:00.000,287,night,83.3,near/in agricultural land,0.426,0.303,False
204033,Bolognetta,2022-06-24 17:05:57.042,7,day,14.3,not predominantly agricultural,0.532,0.237,False
209438,Bolognetta,2022-08-18 10:17:00.000,815,day,61.0,near/in agricultural land,0.184,0.313,False
14947,Blufi,2018-06-29 00:00:00.000,46,night,75.6,near/in agricultural land,0.685,0.387,True
16109,Borgetto,2019-08-07 00:00:00.000,45,night,20.5,not predominantly agricultural,0.557,0.578,True
41011,Borgetto,2020-07-31 00:18:00.000,177,night,0.0,not predominantly agricultural,0.628,0.283,False
40618,Monreale,2020-07-22 00:00:00.000,60,night,5.1,not predominantly agricultural,0.87,0.045,False
42223,Borgetto,2020-08-11 11:10:43.646,5,day,0.0,not predominantly agricultural,0.755,0.414,True
41120,Borgetto,2020-07-29 12:12:00.000,7,day,0.0,not predominantly agricultural,0.879,0.416,True
41677,Borgetto,2020-08-04 11:12:00.000,20,day,0.0,not predominantly agricultural,0.521,0.499,True
42528,Borgetto,2020-08-21 00:24:00.000,12,night,0.0,not predominantly agricultural,0.808,0.287,False
44372,Monreale,2020-09-24 00:36:00.000,46,night,0.0,not predominantly agricultural,0.463,0.387,True
46438,Monreale,2021-03-01 11:42:00.000,13,day,0.0,not predominantly agricultural,0.858,0.0,False
49406,Borgetto,2021-05-22 21:10:00.000,37,night,44.7,near/in agricultural land,0.326,0.455,True
51711,Borgetto,2021-07-27 12:12:00.000,8,day,12.5,not predominantly agricultural,0.395,0.432,True
55212,Borgetto,2021-09-16 12:06:00.000,64,day,60.0,near/in agricultural land,0.35,0.212,False
55213,Borgetto,2021-09-16 00:00:00.000,10,night,30.0,not predominantly agricultural,0.53,0.162,False
203968,Partinico,2022-06-23 11:17:00.000,25,day,12.0,not predominantly agricultural,0.575,0.216,False
210142,Borgetto,2022-08-28 00:05:00.000,6,night,0.0,not predominantly agricultural,0.565,0.232,False
208621,Borgetto,2022-08-03 20:25:00.000,179,night,3.4,not predominantly agricultural,0.296,0.316,False
221489,Borgetto,2023-09-22 11:17:00.000,783,day,33.8,near/in agricultural land,0.174,0.424,True
219722,Borgetto,2023-08-23 00:00:00.000,29,night,13.8,not predominantly agricultural,0.559,0.255,False
217667,Borgetto,2023-07-25 00:03:00.000,820,night,13.9,not predominantly agricultural,0.087,0.466,True
221488,Borgetto,2023-09-22 00:00:00.000,114,night,61.9,near/in agricultural land,0.348,0.389,True
234258,Borgetto,2024-07-19 11:21:00.000,22,day,60.9,near/in agricultural land,0.556,0.4,True
279909,Partinico,2025-08-28 13:10:00.000,85,day,21.4,not predominantly agricultural,0.729,0.409,True
14497,Caccamo,2018-07-30 00:00:00.000,60,night,5.0,not predominantly agricultural,0.773,0.393,True
18036,Caccamo,2019-10-23 00:00:00.000,37,night,91.9,near/in agricultural land,0.526,0.329,False
43374,Caccamo,2020-08-31 11:06:00.000,12,day,60.0,near/in agricultural land,0.776,0.452,True
